Qty;Value;Device;Package;Parts;Description
2;;JUMPER-2PTH_LOCK;1X02_LOCK;JP+5V, JP-5V;Jumper
4;;LED0603;LED-0603;LEDA-B, LEDB-A, LEDV+, LEDV-;LEDs
1;;M02LOCK;1X02_LOCK;JTAGND;Header 2
2;0;RESISTOR0603-RES;0603-RES;RSA, RSB;Resistor
6;100;RESISTOR0603-RES;0603-RES;RFIA, RFIB, RHYSA1, RHYSB1, RREF1, RREF2;Resistor
1;100k;PVZ2A;TRIM-PVZ2A;PREF;
2;100k;RESISTOR0603-RES;0603-RES;RLA, RLB;Resistor
3;100nF;CAP0603-CAP;0603-CAP;CBYP_U5-2, CFIA, CFIB;Capacitor
2;10k;PVZ2A;TRIM-PVZ2A;PA, PB;
6;10k;RESISTOR0603-RES;0603-RES;RHYSA2, RHYSB2, ROUTA1, ROUTB1, RR2+, RR2-;Resistor
4;10nF;CAP0603-CAP;0603-CAP;CRBYP+, CRBYP-, CRNR+, CRNR-;Capacitor
4;10uF;CAP_POL3528-KIT;EIA3528-KIT;CRIN+, CRIN-, CROUT+, CROUT-;Capacitor Polarized
4;1uF;CAP0603-CAP;0603-CAP;CBYP_U3, CBYP_U4+, CBYP_U4-, CBYP_U5-1;Capacitor
2;20k;RESISTOR0603-RES;0603-RES;ROUTA2, ROUTB2;Resistor
4;270;RESISTOR0603-RES;0603-RES;RLEDA-B, RLEDB-A, RLEDV+, RLEDV-;Resistor
2;2k;RESISTOR0603-RES;0603-RES;RFA, RFB;Resistor
2;31.6k;RESISTOR0603-RES;0603-RES;RR1+, RR1-;Resistor
2;33pF;CAP0603-CAP;0603-CAP;CFA, CFB;Capacitor
1;470nF;CAP0603-CAP;0603-CAP;CREF;Capacitor
1;INA2143;INA2143;SOIC14;U4;
5;M01PTH;M01PTH;1X01;JTA-B, JTB-A, JTTIA, JTTIB, JTVREF;Header 1
1;OPA2380;OPA2380;MSOP8;U3;
1;SIL3;SIL3;CON3-2.54;JOUT;
1;SIL4;SIL4;CON4-2.54;JIN;
10;SOLDERJUMPERNC;SOLDERJUMPERNC;SJ_2S;SJ1, SJ2, SJ3, SJ4, SJ5, SJ6, SJ7, SJ8, SJ9, SJ11;Solder Jumper
1;TLV3502;TLV3502;SOIC8;U5;
1;TPS7A3001NO_PAD;TPS7A3001NO_PAD;MSOP8;U2;
1;TPS7A4901NO_PAD;TPS7A4901NO_PAD;MSOP8;U1;
6;VBPW34SR;VBPW34SR;VBPW34SR;PHA1, PHA2, PHA3, PHB1, PHB2, PHB3;
